STREET,X_STREET,DIRECTION,ST_FACING,DIST,CNN,CONCATENAT,MTAB_DATE,MTAB_RESO_TEXT,MTAB_MOTION,STATUS,WORKORDER,INSTALL_DATE,shape,Neighborhoods,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods
ELLSWORTH,OGDEN,NW,SB,0,21183000,ELLSWORTH & OGDEN,,,,,,,POINT (-122.414825 37.735966),83,83,9,2,2
RHODE ISLAND,23RD ST,SE,NB,,23710000,RHODE ISLAND ST & 23RD ST,,,,I,,,POINT (-122.40159 37.75457),54,54,2,9,26
ALEMANY,JUSTIN,,SB,,33636000,ALEMANY & JUSTIN,,,,,,,POINT (-122.42592 37.731815),93,93,9,2,2
BRUSSELS,WOOLSEY,NW,SB,0,20604000,BRUSSELS ST & WOOLSEY ST,,,,,,,POINT (-122.40459 37.72472),91,91,2,2,25
EUCLID,COMMONWEALTH,NE,WB,0,26934000,EUCLID & COMMONWEALTH,,,,,,,POINT (-122.45571 37.783978),11,11,8,6,31
GENNESSEE,MANGELS,NW,SB,00,22378000,GENNESSEE & MANGELS,,,,,,,POINT (-122.451164 37.73306),95,95,9,8,41
CORNWALL,04TH AVE,NE,WB,0,27585000,CORNWALL & 04TH AVE,,,,,,,POINT (-122.46242 37.78491),5,5,8,4,11
23RD ST,EUREKA,NE,WB,0,25767000,23RD ST & EUREKA ST,,,,,,,POINT (-122.43749 37.752697),84,84,3,5,22
HILL ST,CHURCH ST,SW,EB,,25662000,HILL ST & CHURCH,,,,,,,POINT (-122.42781 37.75569),52,52,3,5,22
GATES,TOMPKINS,NW,SB,0,21076000,GATES & TOMPKINS,,,,,,,POINT (-122.4141 37.737106),83,83,9,2,2
MASON,LOMBARD,NW,SB,0,25464000,MASON ST & LOMBARD ST,,,,,,,POINT (-122.41303 37.802826),106,106,6,3,23
ARELIOUS WALKER,INNES,NE,SB,,20056000,ARELIOUS WALKER DR & INNES AVE,20161018000000,,16-140,,,,POINT (-122.37389 37.730938),78,78,2,9,1
MONTCALM,YORK,SE,NB,0,21118000,MONTCALM & YORK,,,,,,,POINT (-122.40609 37.74701),60,60,9,2,2
HEAD ST,RANDOLPH ST,SE,NB,0,22522000,HEAD ST & RANDOLPH ST,,,,,,,POINT (-122.4644 37.714294),65,65,10,1,24
GROVE,LYON,SW,EB,,26355000,GROVE & LYON,,,,,,,POINT (-122.44295 37.775295),24,24,7,11,18
GUTTENBERG,HANOVER,,SB,,21461000,,,,,,,,POINT (-122.442665 37.70932),58,58,9,1,7
22ND ST,RHODE ISLAND,SW,EB,,23711000,22ND ST & RHODE ISLAND ST,,,,I,,,POINT (-122.40183 37.757122),54,54,2,9,26
BROADWAY,DIVISADERO,SW,EB,000,26864000,BROADWAY & DIVISADERO,,,,,,,POINT (-122.44152 37.793438),102,102,4,6,30
ANZA,05TH AVE,NE,WB,0,27244000,ANZA ST & 05TH AVE,,,,,,,POINT (-122.46307 37.77914),5,5,8,4,11
MORNINGSIDE,OCEAN,SE,NB,,23309000,MORNINGSIDE & OCEAN,,,,,,,POINT (-122.49229 37.73197),43,43,10,8,35
QUINT,OAKDALE,NW,SB,0,20692000,QUINT & OAKDALE,,,,,,,POINT (-122.39594 37.737785),86,86,2,9,1
EGBERT,PHELPS,NE,WB,0,20609000,EGBERT & PHELPS,,,,,,,POINT (-122.401955 37.72796),87,87,2,9,1
AMAZON,LISBON,SW,EB,0,21443000,AMAZON & LISBON,,,,,,,POINT (-122.437904 37.71632),90,90,9,1,7
ANZA,17TH AVE,NE,WB,,27494000,ANZA ST & 17TH AVE,,,,,,,POINT (-122.47603 37.778553),5,5,8,4,29
CEDAR,POLK,NE,WB,,25199000,CEDAR ST & POLK ST,,,,I,18-6967,20190103000000,POINT (-122.41983 37.786358),50,50,4,10,36
NEWMAN,ANDOVER,SW,EB,0,21216000,NEWMAN & ANDOVER,,,,,,,POINT (-122.41657 37.737667),83,83,9,2,2
JENNINGS ST,YOSEMITE,NW,SB,,20482000,JENNINGS ST & YOSEMITE,,,,,,,POINT (-122.3898 37.725792),86,86,2,9,1
41ST AVE,RIVERA,SE,NB,0,23470000,41ST AVE & RIVERA,,,,,,,POINT (-122.49953 37.74574),39,39,10,7,35
BROADWAY,BUCHANAN,NE,WB,00,26658000,BROADWAY & BUCHANAN,,,,,,,POINT (-122.43163 37.794685),102,102,4,6,30
CONNECTICUT,MARIPOSA,NW,SB,0,23682000,CONNECTICUT & MARIPOSA,,,,,,,POINT (-122.39761 37.763794),54,54,2,9,26
BRUNSWICK,ALLISON,SE,NB,0,21454000,BRUNSWICK & ALLISON,,,,,,,POINT (-122.44113 37.711212),58,58,9,1,7
FAIRFAX,MENDELL,NE,WB,0,20204000,FAIRFAX AVE & MENDELL ST,,,,,,,POINT (-122.385284 37.74024),86,86,2,9,1
FAIRFIELD,KENWOOD,SE,NB,0,22752000,FAIRFIELD & KENWOOD,,,,,,,POINT (-122.46407 37.728252),68,68,10,8,41
CLEMENT,31ST AVE,NE,WB,,27845000,CLEMENT ST & 31ST AVE,,,,,,,POINT (-122.4913 37.781727),8,8,8,4,29
ORTEGA,32ND AVE,SW,EB,0,27677000,ORTEGA ST & 32ND AVE,,,,,,,POINT (-122.49027 37.75176),39,39,10,7,35
JAMESTOWN AVE,HAWES AVE,NE,WB,,33227000,JAMESTOWN AVE & HAWES,,,,,,,POINT (-122.3916 37.717525),79,79,2,9,1
15TH AVE,ULLOA,NW,SB,0,22955000,15TH AVE & ULLOA,,,,,,,POINT (-122.47123 37.741383),46,46,10,8,41
24TH ST,NOE,SW,EB,0,25738000,24TH ST & NOE,,,,,,,POINT (-122.43188 37.75144),84,84,3,5,22
CLAY,PIERCE,SW,EB,0,26645000,CLAY ST & PIERCE,,,,,,,POINT (-122.43749 37.79029),102,102,4,6,30
18TH AVE,CALIFORNIA,NW,SB,0,27632000,18TH AVE & CALIFORNIA,,,,,,,POINT (-122.47751 37.78422),5,5,8,4,29
CONGO,STILLINGS,SE,NB,0,22270000,CONGO ST & STILLINGS AVE,,,,I,,,POINT (-122.44201 37.7344),95,95,9,5,41
FLORIDA,25TH ST,NW,SB,0,23956000,FLORIDA ST & 25TH ST,,,,,,,POINT (-122.40991 37.751144),53,53,3,2,20
NUEVA,LATHROP,NW,SB,,20272000,NUEVA & LATHROP,,,,,,,POINT (-122.397705 37.71025),89,89,2,9,1
FANNING,15TH AVE,NW,SB,0,23189000,FANNING & 15TH AVE,,,,,,,POINT (-122.47175 37.748837),44,44,10,8,14
36TH AVE,SLOAT,NW,SB,0,32891000,36TH AVE & SLOAT,,,,,,,POINT (-122.49335 37.73401),40,40,10,7,35
48TH AVE,TARAVAL,SW,NB,0,23506000,48TH AVE & TARAVAL,,,,,,,POINT (-122.50687 37.741673),39,39,10,7,35
ROME,MT VERNON,NW,SB,,21527000,ROME & MT VERNON,,,,,,,POINT (-122.44518 37.716576),80,80,9,1,28
FAXON,DE MONTFORT,NW,SB,,22610000,FAXON AVE & DE MONTFORT AVE,,,,,,,POINT (-122.46023 37.723648),64,64,10,8,24
24TH ST,ILLINOIS,,WB,,23547000,24TH ST & ILLINOIS,,,,,,,POINT (-122.38694 37.75417),56,56,2,9,26
SILLIMAN,GIRARD,NE,WB,,20896000,SILLIMAN ST & GIRARD,,,,,,,POINT (-122.40609 37.730976),91,91,2,2,25
45TH AVE,CLEMENT,SE,NB,0,32832000,45TH AVE & CLEMENT,,,,,,,POINT (-122.5063 37.780994),6,6,8,4,29
HUDSON,WHITNEY YOUNG,NW,SB,,20188000,HUDSON & WHITNEY YOUNG,,,,,,,POINT (-122.38228 37.73363),86,86,2,9,1
COLE,FREDERICK,NW,SB,0,26410000,COLE ST & FREDERICK ST,,,,,,,POINT (-122.45014 37.766727),29,29,7,11,3
LIBERTY ST,DOLORES,NE,WB,0,25670000,LIBERTY ST & DOLORES,,,,,,,POINT (-122.42569 37.75743),52,52,3,5,5
EL SERENO,TERESITA,NE,WB,,22303000,EL SERENO CT & TERESITA BLVD,,,,,,,POINT (-122.446205 37.739086),72,72,9,8,41
FOLSOM,CORTLAND,SE,NB,0,21079000,FOLSOM ST & CORTLAND AVE,,,,,,,POINT (-122.413315 37.738983),83,83,9,2,2
27TH ST,SANCHEZ,SW,EB,,21920000,27TH ST & SANCHEZ,,,,,,,POINT (-122.42919 37.74676),84,84,9,5,22
MILTON,BOSWORTH,SE,NB,0,21858000,MILTON & BOSWORTH,,,,,,,POINT (-122.42942 37.733395),93,93,9,5,28
EDWARD,ARGUELLO,NE,WB,0,27214000,EDWARD & ARGUELLO,,,,,,,POINT (-122.45864 37.778008),5,5,8,4,11
38TH AVE,ULLOA,SW,EB,7W,23382000,38TH AVE & ULLOA ST,20220617000000,,6553,I,22-04336,20220818000000,POINT (-122.49592 37.740284),39,39,10,7,35
04TH AVE,BALBOA,NW,SB,0,27241000,04TH AVE & BALBOA,,,,,,,POINT (-122.46187 37.777332),5,5,8,4,11
FOERSTER,TERESITA,SW,EB,,22295000,FOERSTER ST & TERESITA BLVD,,,,,,,POINT (-122.4464 37.735603),72,72,9,8,41
MERRILL,SWEENY,NW,SB,0,21017000,MERRILL & SWEENY,,,,,,,POINT (-122.40943 37.732502),91,91,2,2,25
HAYES,ASHBURY,NE,WB,,26378000,HAYES & ASHBURY,,,,,,,POINT (-122.447685 37.77373),24,24,7,11,18
YALE,SILLIMAN,NW,SB,0,20963000,YALE & SILLIMAN,,,,,,,POINT (-122.41791 37.727886),92,92,2,2,7
ONONDAGA,OTSEGO,,WB,,22076000,ONONDAGA & OTSEGO,,,,,,,POINT (-122.44143 37.722725),80,80,9,1,28
SHRADER,ALMA,SE,NB,,26279000,SHRADER ST & ALMA ST,,,,I,,,POINT (-122.450874 37.763016),114,114,7,11,3
ROANOKE,BEMIS,SE,NB,0,21932000,ROANOKE & BEMIS,,,,,,,POINT (-122.43135 37.736618),96,96,9,5,10
BURROWS,OXFORD,SW,EB,,20978000,BURROWS ST & OXFORD ST,,,,I,,,POINT (-122.418884 37.724964),92,92,9,2,25
POWHATTAN,NEVADA,SW,EB,0,21067000,POWHATTAN & NEVADA,,,,,,,POINT (-122.41136 37.74139),83,83,9,2,2
HOLLOWAY,BRIGHTON,SW,EB,,22221000,HOLLOWAY & BRIGHTON,,,,,,,POINT (-122.455124 37.721848),64,64,10,1,24
JACKSON ST,ARGUELLO,NE,WB,0,27581000,JACKSON ST & ARGUELLO,,,,,,,POINT (-122.45945 37.789303),4,4,8,6,31
CONNECTICUT,18TH ST,SE,NB,0,23679000,CONNECTICUT & 18TH ST,,,,,,,POINT (-122.39749 37.76252),54,54,2,9,26
HOLLOWAY,FAXON,SW,EB,,22609000,HOLLOWAY & FAXON,,,,,,,POINT (-122.46023 37.721836),64,64,10,8,24
GREENWICH,BATTERY,SW,EB,0,24861000,GREENWICH ST & BATTERY ST,,,,,,,POINT (-122.40198 37.803238),77,77,6,3,8
REGENT,SAN JOSE,NE,WB,0,22460000,REGENT & SAN JOSE,,,,,,,POINT (-122.45707 37.71011),66,66,10,1,28
24TH ST,YORK,NE,WB,,23957000,,,,,I,,,POINT (-122.40819 37.752853),53,53,3,2,20
GRANADA,OCEAN,SE,NB,0,22591000,GRANADA & OCEAN,,,,,,,POINT (-122.457344 37.724136),64,64,10,8,24
ANZA,20TH AVE,SW,EB,0,27499000,ANZA ST & 20TH AVE,,,,,,,POINT (-122.47924 37.778408),8,8,8,4,29
THORNTON,FLORA,,WB,,20529000,THORNTON & FLORA,,,,,,,POINT (-122.39453 37.73098),87,87,2,9,1
PACIFIC,DIVISADERO,SW,EB,0,26858000,PACIFIC & DIVISADERO,,,,,,,POINT (-122.44133 37.79251),102,102,4,6,30
26TH ST,TREAT,SW,EB,,23981000,26TH ST & TREAT ST,,,,,,,POINT (-122.41269 37.74937),53,53,3,2,20
ANZAVISTA,BAKER,SW,EB,,26366000,ANZAVISTA AVE & BAKER ST,,,,I,20-00242,,POINT (-122.44174 37.779865),13,13,7,6,18
DOUGLASS,27TH ST,SE,NB,,22044000,DOUGLASS & 27TH ST,,,,,,,POINT (-122.43801 37.74623),84,84,3,5,22
BROADWAY,BAKER,,EB,,26883000,BROADWAY & BAKER,,,,,,,POINT (-122.44484 37.793015),102,102,4,6,30
EUGENIA,ANDOVER,NE,WB,0,21215000,EUGENIA AVE & ANDOVER ST,,,,,,,POINT (-122.416405 37.740437),83,83,9,2,2
MORAGA,38TH AVE,SW,EB,,27757000,MORAGA ST & 38TH AVE,,,,,,,POINT (-122.496956 37.755203),39,39,10,7,35
BRYANT,18TH ST,NW,SB,,24014000,BRYANT & 18TH ST,,,,,,,POINT (-122.41012 37.76176),53,53,3,2,20
LAGUNA ST,JACKSON,NW,SB,,26565000,LAGUNA ST & JACKSON,,,,,,,POINT (-122.42963 37.7931),102,102,4,6,30
MONTEREY,SAN BENITO,SW,EB,0,22911000,MONTEREY & SAN BENITO,,,,,,,POINT (-122.466995 37.733093),116,116,10,8,41
25TH ST,DE HARO,SW,EB,,23692000,25TH ST & DE HARO,,,,,,,POINT (-122.40041 37.752075),54,54,2,9,26
40TH AVE,WAWONA,SE,NB,0,23429000,40TH AVE & WAWONA,,,,,,,POINT (-122.497795 37.736465),40,40,10,7,35
QUINT,OAKDALE,SE,NB,0,20692000,QUINT & OAKDALE,,,,,,,POINT (-122.39594 37.737785),86,86,2,9,1
BANCROFT,JENNINGS,SW,EB,,20451000,BANCROFT & JENNINGS,,,,,,,POINT (-122.39092 37.724545),86,86,2,9,1
02ND AVE,CABRILLO,NW,SB,0,27212000,02ND AVE & CABRILLO,,,,,,,POINT (-122.45959 37.775566),5,5,8,4,11
BOYLSTON,SWEENY,,SB,,20926000,,,,,,,,POINT (-122.41094 37.732044),91,91,2,2,25
GOLDEN GATE,ARGUELLO,NE,WB,0,27206000,GOLDEN GATE & ARGUELLO,,,,,,,POINT (-122.4585 37.77619),12,12,8,4,18
LAWRENCE AVE,HURON,SW,EB,0,21553000,LAWRENCE AVE & HURON,,,,,,,POINT (-122.451904 37.71023),66,66,9,1,28
CUSTER,QUINT,NB,NB,,4560000,CUSTER AVE & QUINT ST,,,,,,,POINT (-122.38919 37.7453),56,56,2,9,1
SAN LORENZO,PORTOLA,SE,NB,0,22920000,SAN LORENZO & PORTOLA,,,,,,,POINT (-122.46405 37.73992),116,116,10,8,41
FAXON,MONTANA,NW,SB,,22593000,FAXON AVE & MONTANA ST,,,,,,,POINT (-122.46022 37.716595),81,81,10,1,24
BADEN,MANGELS,SE,NB,,21981000,BADEN ST & MANGELS AVE,20180306000000,,180306-034,I,18-5405,,POINT (-122.43975 37.733112),95,95,9,5,41
ROCKDALE,ISOLA,,WB,,22373000,ROCKDALE & ISOLA,,,,,,,POINT (-122.451 37.74116),72,72,9,8,41
ANZA,16TH AVE,NE,WB,0,27479000,ANZA ST & 16TH AVE,,,,,,,POINT (-122.47495 37.778603),5,5,8,4,29
LAKEVIEW AVE,LEE,SW,EB,,22206000,LAKEVIEW AVE & LEE,,,,,,,POINT (-122.45408 37.718174),81,81,10,1,24
FARRAGUT,HURTON,,WB,,21554000,FARRAGUT & HURTON,,,,,,,POINT (-122.450775 37.711117),66,66,9,1,28
22ND ST,HOFFMAN,NE,WB,0,26099000,22ND ST & HOFFMAN AVE,,,,I,,,POINT (-122.44093 37.7541),51,51,3,5,22
KENWOOD WY,MANOR,NE,WB,0,22752000,KENWOOD WY & MANOR,,,,,,,POINT (-122.46407 37.728252),68,68,10,8,41
09TH AVE,ORTEGA,SE,NB,10S,27097000,09TH AVE & ORTEGA,,,,,,,POINT (-122.46553 37.75285),45,45,10,8,14
MONTEREY,PLYMOUTH,SW,EB,0,22648000,MONTEREY & PLYMOUTH,,,,,,,POINT (-122.45747 37.731),70,70,9,8,41
DOUGLASS,ELIZABETH,NW,SB,,25768000,DOUGLASS & ELIZABETH,,,,,,,POINT (-122.43855 37.751827),51,51,3,5,22
FLORIDA,21ST ST,SE,NB,0,23995000,FLORIDA ST & 21ST ST,,,,,,,POINT (-122.41053 37.757538),53,53,3,2,20
SHOTWELL,19TH ST,SE,NB,0,24125000,SHOTWELL & 19TH ST,,,,,,,POINT (-122.41593 37.760433),53,53,3,2,20
LARKIN ST,PACIFIC,NW,SB,0,25305000,LARKIN ST & PACIFIC,,,,,,,POINT (-122.41994 37.79524),105,105,6,3,32
44TH AVE,CABRILLO,SE,NB,0,27970000,44TH AVE & CABRILLO,,,,,,,POINT (-122.50468 37.773506),8,8,8,4,29
LYON,FRANCISCO,SE,NB,,27024000,LYON ST & FRANCISCO ST,,,,I,,,POINT (-122.44762 37.800323),14,14,4,6,27
05TH AVE,LAKE,SE,NB,0,27595000,05TH AVE & LAKE,,,,,,,POINT (-122.463615 37.78672),4,4,8,6,11
06TH AVE,KIRKHAM,NW,SB,0,27077000,06TH AVE & KIRKHAM,,,,,,,POINT (-122.462845 37.760452),109,109,7,11,14
EXCELSIOR,LONDON,NE,WB,0,21760000,EXCELSIOR & LONDON,,,,,,,POINT (-122.43285 37.725872),90,90,9,1,7
10TH AVE,CABRILLO,NW,SB,0,27292000,10TH AVE & CABRILLO,,,,,,,POINT (-122.468155 37.775173),5,5,8,4,11
PALOU,PHELPS,NE,WB,0,20680000,PALOU & PHELPS,,,,,,,POINT (-122.39466 37.736107),87,87,2,9,1
PRESIDIO,ARGUELLO,SW,EB,,27575000,PRESIDIO TER & ARGUELLO BLVD,,,,I,,,POINT (-122.45939 37.788406),4,4,8,6,11
21ST AVE,OCEAN,SE,NB,0,23085000,21ST AVE & OCEAN,,,,,,,POINT (-122.476944 37.73265),62,62,10,8,35
YORBA,34TH AVE,NE,WB,,23340000,YORBA & 34TH AVE,,,,,,,POINT (-122.49132 37.73533),40,40,10,7,35
SACRAMENTO,BUCHANAN,NE,WB,,26561000,SACRAMENTO ST & BUCHANAN ST,,,,,,,POINT (-122.43074 37.790253),102,102,4,6,30
FRANCE,LONDON,SW,EB,0,21734000,FRANCE & LONDON,,,,,,,POINT (-122.43756 37.71965),90,90,9,1,7
VICENTE,28TH AVE,NE,WB,0,23250000,VICENTE & 28TH AVE,,,,,,,POINT (-122.48508 37.7389),40,40,10,7,35
PARIS,ITALY,SE,NB,0,21731000,PARIS & ITALY,,,,,,,POINT (-122.43794 37.717724),90,90,9,1,7
22ND ST,CAPP,SW,EB,,24082000,22ND ST & CAPP ST,,,,I,,,POINT (-122.417656 37.7555),53,53,3,2,20
EDNA,FLOOD,NW,SB,0,22160000,EDNA ST & FLOOD AVE,,,,,,,POINT (-122.44657 37.729893),95,95,9,8,41
GRIFFITH,REVERE,,SB,,20067000,GRIFFITH & REVERE,,,,,,,POINT (-122.38081 37.726364),78,78,2,9,1
MISSISSIPPI,22ND ST,NW,SB,,23657000,MISSISSIPPI ST & 22ND ST,,,,I,,,POINT (-122.394104 37.75759),54,54,2,9,26
ARGONAUT,GARRISON,SW,EB,0,20376000,ARGONAUT & GARRISON,,,,,,,POINT (-122.41316 37.710426),75,75,9,9,40
FOERSTER,LOS PALMOS,NW,SB,,22354000,FOERSTER ST & LOS PALMOS DR,,,,,,,POINT (-122.448875 37.73591),72,72,9,8,41
NIAGARA,CAYUGA,SW,EB,0,22082000,NIAGARA & CAYUGA,,,,,,,POINT (-122.44471 37.717995),80,80,9,1,28
BROMPTON,JOOST,NW,SB,0,21809000,BROMPTON & JOOST,,,,,,,POINT (-122.43541 37.732388),96,96,9,5,41
GOETHE,SAN JOSE,SE,NB,0,22464000,GOETHE & SAN JOSE,,,,,,,POINT (-122.458824 37.708447),66,66,10,1,28
19TH ST,KANSAS,NE,WB,0,23760000,19TH ST & KANSAS ST,,,,,,,POINT (-122.40317 37.76089),54,54,2,9,26
BALBOA,11TH AVE,NE,WB,,27294000,BALBOA ST & 11TH AVE,,,,,,,POINT (-122.46936 37.77699),5,5,8,4,11
HESTER,LOIS,NW,SB,,53017000,HESTER AVE & LOIS LN,20160719000000,,16-084,,,,POINT (-122.39766 37.713318),89,89,2,9,1
NOE,17TH ST,SE,NB,0,25803000,NOE & 17TH ST,,,,,,,POINT (-122.43295 37.76262),38,38,3,5,5
21ST AVE,ORTEGA,SE,NB,,27337000,21ST AVE & ORTEGA,,,,,,,POINT (-122.478485 37.75228),39,39,10,7,35
KANSAS ST,19TH ST,SE,NB,0,23760000,KANSAS ST & 19TH ST,,,,,,,POINT (-122.40317 37.76089),54,54,2,9,26
YUKON,EAGLE,SE,NB,,26154000,YUKON & EAGLE,,,,,,,POINT (-122.44224 37.758102),115,115,3,5,5
QUINT,PALOU,SE,NB,0,20691000,QUINT & PALOU,,,,,,,POINT (-122.396515 37.737156),87,87,2,9,1
RIVERA,25TH AVE,NE,WB,,23273000,RIVERA & 25TH AVE,,,,,,,POINT (-122.48238 37.746494),40,40,10,7,35
CHESTNUT,GOUGH,NE,WB,0,26716000,CHESTNUT & GOUGH,,,,,,,POINT (-122.428024 37.801865),17,17,4,6,13
LEAVENWORTH,BROADWAY,NW,SB,,25284000,LEAVENWORTH ST & BROADWAY,20170815000000,,170815-102,,,,POINT (-122.41684 37.796597),107,107,6,3,32
BALBOA,19TH AVE,NE,WB,0,27496000,BALBOA ST & 19TH AVE,,,,,,,POINT (-122.478035 37.776596),8,8,8,4,29
20TH ST,WISCONSIN,SW,EB,,23734000,20TH ST & WISCONSIN ST,,,,I,,,POINT (-122.399185 37.75985),54,54,2,9,26
LAKE ST,EL CAMINO DEL MAR,SE,NB,0,28030000,LAKE ST & EL CAMINO DEL MAR,,,,,,,POINT (-122.49208 37.78638),1,1,8,6,33
ANZA,30TH AVE,NE,WB,0,27835000,ANZA ST & 30TH AVE,,,,,,,POINT (-122.48995 37.777924),8,8,8,4,29
SAN LEANDRO,PORTOLA,SE,NB,0,22933000,SAN LEANDRO & PORTOLA,,,,,,,POINT (-122.469246 37.73665),46,46,10,8,41
CLIPPER,CASTRO,NE,WB,0,25736000,CLIPPER & CASTRO,,,,,,,POINT (-122.43385 37.748898),84,84,3,5,22
MT VERNON,CAYUGA,NE,WB,0,22091000,MT VERNON & CAYUGA,,,,,,,POINT (-122.44581 37.71708),80,80,9,1,28
26TH ST,KANSAS,SW,EB,,23715000,26TH & KANSAS ST,20170221000000,,170221-011,,,,POINT (-122.40218 37.75058),54,54,2,9,1
HOLLISTER,JENNINGS,NE,WB,,20470000,HOLLISTER & JENNINGS,,,,,,,POINT (-122.3943 37.720783),88,88,2,9,1
08TH AVE,NORIEGA,NW,SB,0,27102000,08TH AVE & NORIEGA,,,,,,,POINT (-122.46459 37.75475),44,44,10,8,14
LAWTON,46TH AVE,SW,EB,0,27932000,LAWTON ST & 46TH AVE,,,,,,,POINT (-122.50567 37.756695),39,39,10,7,35
MARIPOSA,HARRISON,NE,WB,,24052000,MARIPOSA ST& HARRISON,,,,,,,POINT (-122.412895 37.762875),53,53,3,2,20
YOSEMITE,INGALLS,SW,EB,0,20148000,YOSEMITE & INGALLS,,,,,,,POINT (-122.38793 37.724728),78,78,2,9,1
45TH AVE,GEARY,NW,SB,,27988000,45TH AVE & GEARY,,,,,,,POINT (-122.506165 37.77911),6,6,8,4,29
15TH ST,HENRY ADAMS,SW,WB,00,23858000,15TH ST & HENRY ADAMS,,,,,,,POINT (-122.40376 37.767315),33,33,1,9,4
LYON,CHESTNUT,SE,NB,,27021000,LYON ST & CHESTNUT ST,,,,I,,,POINT (-122.447464 37.79939),14,14,4,6,13
LAKE,03RD AVE,NE,WB,0,27584000,03RD AVE & LAKE,20220805000000,,6571,I,22-04642,20220923000000,POINT (-122.46147 37.786816),4,4,8,6,11
WOODACRE,JUNIPERO SERRA,SW,EB,0,33537000,WOODACRE & JUNIPERO SERRA,,,,,,,POINT (-122.472015 37.73383),62,62,10,8,41
STEINER,WASHINGTON,SE,NB,,26668000,STEINER ST & WASHINGTON ST,,,,I,,,POINT (-122.43603 37.79138),102,102,4,6,30
CAPRA,PIERCE,SW,EB,0,26982000,CAPRA & PIERCE,,,,,,,POINT (-122.43994 37.802723),17,17,4,6,13
HEARST AVE,EDNA ST,SW,EB,0,22161000,HEARST AVE & EDNA ST,,,,,,,POINT (-122.44657 37.730698),95,95,9,8,41
BEACH,BUCHANAN,SW,EB,0,26758000,BEACH ST & BUCHANAN ST,,,,,,,POINT (-122.4338 37.805042),17,17,4,6,13
COLBY,SILLIMAN,NW,SB,0,20920000,COLBY ST & SILLIMAN ST,,,,,,,POINT (-122.41397 37.728916),91,91,2,2,25
45TH AVE,PACHECO,SE,NB,0,23489000,45TH AVE & PACHECO,,,,,,,POINT (-122.504074 37.749283),39,39,10,7,35
MCKINNON,TOLAND,SE,WB,0,20805000,MCKINNON & TOLAND,,,,,,,POINT (-122.40043 37.7422),85,85,2,9,1
29TH AVE,LAKE,NW,SB,0,28021000,29TH AVE & LAKE,,,,,,,POINT (-122.489395 37.785088),1,1,8,6,33
SANTIAGO,42ND AVE,NE,WB,0,23474000,SANTIAGO & 42ND AVE,,,,,,,POINT (-122.500465 37.74383),39,39,10,7,35
39TH AVE,CABRILLO,NW,SB,0,27867000,39TH AVE & CABRILLO,,,,,,,POINT (-122.49932 37.77375),8,8,8,4,29
VIDAL,HIGUERA,SE,SB,,23108000,VIDAL & HIGUERA,,,,,,,POINT (-122.48478 37.718323),42,42,10,8,16
43RD AVE,VICENTE,NW,SB,0,23448000,43RD AVE & VICENTE,,,,,,,POINT (-122.501144 37.738194),39,39,10,7,35
SANCHEZ,26TH ST,SE,NB,12S,21922000,SANCHEZ ST & 26TH ST,,,,I,,,POINT (-122.429344 37.748363),84,84,3,5,22
GREEN,GRANT,NE,WB,0,25326000,GREEN & GRANT,,,,,,,POINT (-122.407394 37.799706),106,106,6,3,23
RIVERA,44TH AVE,,EB,,23480000,,,,,,,,POINT (-122.50274 37.745598),39,39,10,7,35
IRVING,40TH AVE,NE,WB,0,27789000,IRVING ST & 40TH AVE,20210903000000,,6455,I,21-02937,20211008000000,POINT (-122.499626 37.76257),39,39,10,7,35
25TH AVE,OCEAN,NW,SB,,23121000,25TH AVE & OCEAN,,,,,,,POINT (-122.480995 37.73247),62,62,10,8,35
BADEN,JOOST,SE,NB,0,22141000,BADEN ST & JOOST AVE,,,,,,,POINT (-122.43975 37.73237),95,95,9,5,41
PRESIDIO,WASHINGTON,,SB,,26952000,PRESIDIO AVE & WASHINGTON ST,,,,,,,POINT (-122.44733 37.78994),10,10,8,6,31
25TH ST,FAIR OAKS,SW,EB,,25604000,25TH ST & FAIR OAKS,,,,,,,POINT (-122.42383 37.750305),52,52,3,5,20
32ND AVE,PACHECO,,NB,,23402000,32ND AVE & PACHECO,,,,,,,POINT (-122.490135 37.749897),39,39,10,7,35
VALLEJO,MASON,NE,WB,,25116000,VALLEJO & MASON,,,,,,,POINT (-122.412094 37.798164),107,107,6,3,6
FAIRMOUNT,WHITNEY,NE,WB,0,21871000,FAIRMOUNT ST & WHITNEY ST,,,,,,,POINT (-122.42743 37.738853),59,59,9,5,10
ANZA,03RD AVE,NE,WB,0,27236000,ANZA ST & 03RD AVE,,,,,,,POINT (-122.46093 37.779236),5,5,8,4,11
FREDERICK,ASHBURY,NE,WB,0,26335000,FREDERICK & ASHBURY,,,,,,,POINT (-122.44637 37.76722),114,114,7,11,3
IVY,BUCHANAN,NE,WB,,25936000,IVY ST & BUCHANAN ST,,,,,,,POINT (-122.42801 37.77672),22,22,4,11,9
47TH AVE,PACHECO,SE,NB,0,23518000,47TH AVE & PACHECO,,,,,,,POINT (-122.50622 37.749187),39,39,10,7,35
ESTERO,JUNIPERO SERRA,NE,WB,0,33415000,ESTERO & JUNIPERO SERRA,,,,,,,POINT (-122.47212 37.723755),67,67,10,8,41
