city,year,weathercode,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max
Santa Clara,2017,1,71.10631868131867,52.64972527472528,60.68379120879121,1010.8,1010.8,0.0,856.0,12.46510989010989,18.711263736263735
Santa Clara,2018,3,70.34368131868132,51.90384615384615,59.82335164835164,536.8,536.8,0.0,621.0,12.060164835164837,17.6793956043956
Santa Clarita,2014,1,78.88214285714287,54.08214285714286,65.92445054945055,302.7,302.7,0.0,291.0,7.632967032967034,22.063736263736264
Santa Clarita,2015,1,78.05631868131869,53.6423076923077,65.28324175824176,130.10000000000002,130.10000000000002,0.0,258.0,7.525824175824176,21.642307692307696
Santa Clarita,2016,2,77.46273972602741,53.36493150684932,64.75232876712329,292.5,292.5,0.0,337.0,7.699178082191781,21.907397260273974
Santa Clarita,2017,1,77.84368131868132,54.404120879120875,65.52225274725275,332.40000000000003,332.40000000000003,0.0,429.0,7.471153846153846,21.439835164835166
Santa Clarita,2018,1,77.27445054945055,53.60357142857143,64.69587912087911,289.40000000000003,289.40000000000003,0.0,334.0,7.462087912087913,21.292857142857144
Santa Cruz,2014,3,63.620879120879124,55.27362637362637,59.139010989010984,627.2,627.2,0.0,702.0,11.39532967032967,17.689835164835163
Santa Cruz,2015,1,63.53901098901099,55.25714285714285,59.05576923076923,320.50000000000006,320.50000000000006,0.0,344.0,11.498626373626374,17.44478021978022
Santa Cruz,2016,3,62.03013698630137,54.22684931506849,57.80164383561643,843.3,843.3,0.0,822.0,11.959452054794523,17.986301369863014
Santa Cruz,2017,1,62.7315934065934,54.244505494505496,58.082967032967034,1010.8,1010.8,0.0,856.0,12.46510989010989,18.711263736263735
Santa Cruz,2018,3,62.2934065934066,53.91483516483517,57.66978021978021,536.8,536.8,0.0,621.0,12.060164835164837,17.6793956043956
Santa Fe Springs,2014,2,78.1565934065934,55.872252747252745,66.03351648351648,227.10000000000002,227.10000000000002,0.0,268.0,9.34065934065934,19.432692307692307
Santa Fe Springs,2015,1,77.58516483516483,55.30796703296703,65.63598901098901,147.1,147.1,0.0,309.0,9.361813186813187,19.228571428571428
Santa Fe Springs,2016,3,76.5421917808219,55.00465753424657,64.80438356164383,229.3,229.3,0.0,353.0,9.493698630136986,19.26684931506849
